Date,Open,High,Low,Close,Adj Close,Volume,RSI,MACD,CCI,ADX
1997-07-02,1255.9090576171875,1261.571044921875,1147.3310546875,1199.06103515625,1199.06103515625,0,,,,
1997-07-03,1194.676025390625,1194.676025390625,1149.93994140625,1150.623046875,1150.623046875,0,,,,
1997-07-04,1138.9210205078125,1163.2490234375,1124.7760009765625,1159.342041015625,1159.342041015625,0,,,,
1997-07-07,1161.70703125,1163.447021484375,1085.572021484375,1096.8189697265625,1096.8189697265625,0,,,,
1997-07-08,1092.7989501953125,1115.4329833984375,1066.0439453125,1109.666015625,1109.666015625,0,,,,
1997-07-09,1113.6409912109375,1122.6739501953125,1104.0860595703125,1120.8409423828125,1120.8409423828125,0,,,,
1997-07-10,1121.259033203125,1137.8690185546875,1115.2120361328125,1120.154052734375,1120.154052734375,0,,,,
1997-07-11,1116.4150390625,1155.0560302734375,1114.39697265625,1154.7939453125,1154.7939453125,0,,,,
1997-07-14,1189.4739990234375,1201.2139892578125,1180.1910400390625,1200.114013671875,1200.114013671875,0,,,,
1997-07-16,1201.594970703125,1204.85498046875,1184.4449462890625,1190.8260498046875,1190.8260498046875,0,,,,
1997-07-17,1188.2669677734375,1203.5040283203125,1180.9339599609375,1197.2259521484375,1197.2259521484375,0,,,,
1997-07-18,1199.3990478515625,1210.43994140625,1191.2889404296875,1209.8570556640625,1209.8570556640625,0,,,,
1997-07-21,1215.8389892578125,1218.48095703125,1188.875,1193.5250244140625,1193.5250244140625,0,,,,
1997-07-22,1189.1180419921875,1208.261962890625,1163.468017578125,1208.248046875,1208.248046875,0,,,58.40424553799728,
1997-07-23,1219.0550537109375,1223.822998046875,1194.7030029296875,1198.8609619140625,1198.8609619140625,0,49.96587061987201,,81.94565646741438,
1997-07-24,1194.7049560546875,1200.3089599609375,1172.366943359375,1174.217041015625,1174.217041015625,0,45.81734483740286,,32.73436317655052,
1997-07-25,1166.5660400390625,1177.6529541015625,1158.135986328125,1170.862060546875,1170.862060546875,0,45.266333510225266,,4.872887926630979,
1997-07-28,1167.81298828125,1167.8800048828125,1138.4749755859375,1141.7769775390625,1141.7769775390625,0,40.69695135999835,,-42.02659093113519,
1997-07-29,1137.3189697265625,1161.1949462890625,1133.175048828125,1153.22900390625,1153.22900390625,0,43.131135528840204,,-58.54531333747502,
1997-07-30,1157.0899658203125,1179.47802734375,1157.0040283203125,1179.4210205078125,1179.4210205078125,0,48.35264183235844,,-13.92329358955125,
1997-07-31,1184.93701171875,1192.199951171875,1179.7149658203125,1189.760009765625,1189.760009765625,0,50.29278814991692,,23.147627667000066,
1997-08-01,1191.6510009765625,1194.031005859375,1182.2230224609375,1192.8280029296875,1192.8280029296875,0,50.88242454186194,,24.04203567868332,
