Date,Open,High,Low,Close,Adj Close,Volume
2000-03-02,1.74884,2.49834,1.74884,2.49834,2.49834,2562.0
2000-03-03,1.87375,1.87375,1.87375,1.87375,1.87375,80.0
2000-03-06,2.49834,2.49834,2.49834,2.49834,2.49834,240.0
2000-03-07,4.37209,4.37209,4.37209,4.37209,4.37209,0.0
2000-03-08,4.37209,4.37209,4.37209,4.37209,4.37209,0.0
2000-03-09,4.37209,4.37209,4.37209,4.37209,4.37209,0.0
2000-03-10,2.2485,2.2485,2.2485,2.2485,2.2485,400.0
2000-03-13,1.99867,1.99867,1.99867,1.99867,1.99867,817.0
2000-03-14,1.87375,1.87375,1.87375,1.87375,1.87375,801.0
2000-03-15,1.87375,1.87375,1.87375,1.87375,1.87375,2001.0
2000-03-16,1.87375,1.87375,1.87375,1.87375,1.87375,0.0
2000-03-17,1.87375,1.99867,1.87375,1.99867,1.99867,440.0
2000-03-20,1.99867,1.99867,1.99867,1.99867,1.99867,0.0
2000-03-21,1.99867,1.99867,1.99867,1.99867,1.99867,0.0
2000-03-22,1.99867,1.99867,1.99867,1.99867,1.99867,0.0
2000-03-23,1.99867,1.99867,1.99867,1.99867,1.99867,400.0
2000-03-24,1.99867,1.99867,1.99867,1.99867,1.99867,0.0
2000-03-27,3.12292,3.12292,1.499,1.499,1.499,1327.0
2000-03-28,2.74817,2.74817,2.74817,2.74817,2.74817,0.0
2000-03-29,2.74817,2.74817,2.74817,2.74817,2.74817,0.0
2000-03-30,2.74817,2.74817,2.74817,2.74817,2.74817,0.0
2000-03-31,2.74817,2.74817,2.74817,2.74817,2.74817,0.0
2000-04-03,2.74817,2.74817,2.74817,2.74817,2.74817,0.0
2000-04-04,2.74817,2.74817,2.74817,2.74817,2.74817,0.0
2000-04-05,2.12359,2.12359,1.99867,1.99867,1.99867,1001.0
2000-04-06,1.99867,1.99867,1.99867,1.99867,1.99867,0.0
2000-04-07,1.99867,1.99867,1.99867,1.99867,1.99867,0.0
2000-04-10,1.99867,1.99867,1.87375,1.87375,1.87375,2282.0
2000-04-11,1.87375,1.87375,1.87375,1.87375,1.87375,0.0
2000-04-12,1.87375,1.87375,1.87375,1.87375,1.87375,0.0
2000-04-13,1.62392,1.62392,1.62392,1.62392,1.62392,801.0
2000-04-14,1.499,1.499,1.499,1.499,1.499,2402.0
2000-04-17,1.37409,1.37409,1.24917,1.24917,1.24917,1681.0
2000-04-18,1.24917,1.24917,1.24917,1.24917,1.24917,0.0
2000-04-19,1.24917,1.24917,1.24917,1.24917,1.24917,0.0
2000-04-20,1.24917,1.24917,1.24917,1.24917,1.24917,0.0
2000-04-24,1.24917,1.24917,1.24917,1.24917,1.24917,0.0
2000-04-25,1.37409,1.37409,1.37409,1.37409,1.37409,1201.0
2000-04-26,1.37409,1.37409,1.37409,1.37409,1.37409,600.0
2000-04-27,1.37409,1.37409,1.37409,1.37409,1.37409,0.0
2000-04-28,1.37409,1.37409,1.37409,1.37409,1.37409,0.0
2000-05-01,1.37409,1.37409,1.37409,1.37409,1.37409,0.0
